step,particle_id,from,to
1516,20807,FUN_2,FUN_1
1529,9294,CUBE_L,RET
1540,11184,FUN_6,FUN_5
1546,456,CUBE_R,RET
1547,14287,FUN_4,FUN_3
1550,7390,FUN_1,FUN_2
1567,14329,FUN_2,FUN_1
1570,13946,FUN_1,FUN_2
1576,21042,FUN_2,FUN_3
1581,27928,FUN_4,FUN_5
1598,27086,FUN_4,FUN_3
1612,10895,FUN_3,FUN_2
1617,24922,FUN_3,FUN_2
1632,9661,FUN_5,FUN_6
1650,23609,FUN_4,FUN_5
1651,544,RET,CUBE_R
1654,1805,FUN_5,FUN_6
1657,6873,RET,CUBE_R
1663,16589,FUN_4,FUN_3
1664,24333,CUBE_R,RET
1672,26239,FUN_6,CUBE_R
1678,19395,FUN_2,FUN_1
1685,18457,FUN_3,FUN_2
1689,3042,CUBE_L,FUN_1
1691,7547,FUN_6,CUBE_R
1714,16417,CUBE_L,RET
1716,29952,FUN_2,FUN_1
1734,22462,FUN_3,FUN_2
1746,20537,FUN_3,FUN_2
1751,23704,FUN_5,FUN_6
1754,17167,FUN_2,FUN_1
1761,11443,FUN_1,CUBE_L
1761,14329,FUN_1,FUN_2
1763,2899,CUBE_R,RET
1775,11184,FUN_5,FUN_6
1779,28024,CUBE_R,FUN_6
1780,7806,FUN_3,FUN_2
1793,19666,FUN_3,FUN_2
1808,20348,FUN_2,FUN_3
1817,13380,RET,CUBE_L
1818,29242,FUN_3,FUN_4
1829,19354,CUBE_R,FUN_6
1829,23314,CUBE_R,RET
1834,26327,FUN_1,CUBE_L
1848,14648,FUN_4,FUN_3
1848,17739,RET,CUBE_R
1854,6557,FUN_5,FUN_4
1856,21668,CUBE_L,RET
1865,20369,FUN_3,FUN_2
1869,26128,RET,CUBE_R
1875,3210,FUN_5,FUN_4
1875,11767,FUN_4,FUN_5
1878,26327,CUBE_L,FUN_1
1888,15947,FUN_4,FUN_5
1897,16165,FUN_2,FUN_1
1911,16888,FUN_2,FUN_1
1913,16589,FUN_3,FUN_4
1926,19340,FUN_2,FUN_3
1928,20415,FUN_2,FUN_3
1933,6810,FUN_2,FUN_3
1935,21829,FUN_2,FUN_3
1942,19744,FUN_4,FUN_5
1943,20369,FUN_2,FUN_3
1948,24636,FUN_1,CUBE_L
1953,9868,CUBE_L,RET
1960,8958,FUN_2,FUN_3
1961,3530,FUN_2,FUN_3
1966,14089,FUN_4,FUN_5
1971,29744,FUN_4,FUN_3
1977,19168,RET,CUBE_R
1979,8793,FUN_3,FUN_2
1985,29432,FUN_4,FUN_3
1993,21109,CUBE_L,FUN_1
2012,5665,RET,CUBE_R
2018,13380,CUBE_L,RET
2018,16589,FUN_4,FUN_3
2032,28657,RET,CUBE_L
2046,1960,CUBE_L,RET
2046,8417,FUN_4,FUN_3
2047,14688,FUN_3,FUN_2
2050,3118,FUN_1,FUN_2
2053,9122,FUN_2,FUN_1
2066,2398,FUN_3,FUN_2
2076,22037,FUN_1,CUBE_L
2089,27688,FUN_3,FUN_2
2111,11184,FUN_6,FUN_5
2118,14454,FUN_4,FUN_3
2122,13476,CUBE_L,FUN_1
2125,17711,FUN_3,FUN_2
2129,23481,FUN_4,FUN_5
2144,879,FUN_5,FUN_6
2144,26327,FUN_1,CUBE_L
2146,24054,FUN_4,FUN_5
2146,25981,FUN_1,FUN_2
2162,25718,CUBE_L,RET
2174,11853,FUN_4,FUN_3
2177,18830,FUN_4,FUN_3
2184,24489,CUBE_R,RET
2196,23435,CUBE_R,RET
2208,1491,FUN_3,FUN_4
2209,213,CUBE_R,FUN_6
2216,5676,FUN_3,FUN_2
2226,21298,FUN_2,FUN_3
2237,28357,FUN_1,FUN_2
2267,24418,FUN_2,FUN_1
2269,25225,FUN_3,FUN_4
2275,19515,FUN_3,FUN_4
2275,19600,FUN_6,FUN_5
2285,27524,FUN_6,FUN_5
2298,15156,FUN_6,FUN_5
2299,24044,FUN_2,FUN_1
2300,23440,CUBE_R,RET
2316,21225,FUN_5,FUN_6
2328,29952,FUN_1,FUN_2
2343,11578,FUN_3,FUN_2
2349,28372,CUBE_L,RET
2354,27913,FUN_1,FUN_2
2357,5676,FUN_2,FUN_3
2359,23919,CUBE_L,FUN_1
2370,20119,FUN_1,FUN_2
2371,15298,FUN_2,FUN_3
2379,20063,FUN_2,FUN_1
2391,16589,FUN_3,FUN_4
2400,23030,FUN_4,FUN_3
2405,8383,CUBE_R,RET
2406,29251,FUN_2,FUN_3
2411,27688,FUN_2,FUN_3
2423,22316,FUN_3,FUN_4
2425,1113,FUN_1,FUN_2
2442,14743,FUN_3,FUN_2
2446,18112,RET,CUBE_L
2455,17798,FUN_2,FUN_3
2465,27415,FUN_2,FUN_1
2471,17111,FUN_3,FUN_2
2472,6478,FUN_3,FUN_2
2476,23587,FUN_3,FUN_2
2477,10086,FUN_5,FUN_4
2494,29602,FUN_6,FUN_5
2506,14223,RET,CUBE_R
2522,20598,FUN_3,FUN_2
2541,5898,CUBE_R,FUN_6
2552,17343,FUN_3,FUN_2
2559,3210,FUN_4,FUN_5
2563,28509,CUBE_L,RET
2584,9294,RET,CUBE_L
2590,22508,FUN_2,FUN_1
2593,28245,FUN_1,FUN_2
2594,20645,FUN_2,FUN_1
2604,24942,RET,CUBE_R
2617,16586,FUN_1,FUN_2
2622,23868,FUN_2,FUN_3
2629,18490,FUN_5,FUN_4
2657,2004,FUN_2,FUN_3
2668,6944,FUN_1,FUN_2
2679,11584,FUN_5,FUN_4
2680,18351,FUN_5,FUN_4
2682,24955,FUN_3,FUN_2
2683,28606,FUN_1,FUN_2
2687,213,FUN_6,CUBE_R
2688,19354,FUN_6,CUBE_R
2706,2660,FUN_3,FUN_2
2740,22061,FUN_1,FUN_2
2769,21604,FUN_3,FUN_4
2783,17167,FUN_1,FUN_2
2789,5031,FUN_4,FUN_3
2791,26718,FUN_3,FUN_4
2809,23435,RET,CUBE_R
2813,26681,FUN_2,FUN_3
2816,21933,FUN_6,FUN_5
2825,14805,FUN_5,FUN_4
2827,6039,FUN_2,FUN_1
2857,9112,FUN_4,FUN_5
2867,8378,FUN_5,FUN_4
2875,1874,RET,CUBE_L
2889,640,FUN_5,FUN_6
2932,29251,FUN_3,FUN_2
2934,20645,FUN_1,FUN_2
2979,18622,FUN_6,FUN_5
2986,17724,RET,CUBE_R
2987,24963,FUN_6,CUBE_R
2991,4481,FUN_5,FUN_4
2999,73,FUN_1,FUN_2
3018,6168,FUN_5,FUN_6
3025,13455,FUN_2,FUN_3
3027,6690,FUN_1,FUN_2
3027,20333,FUN_1,FUN_2
3030,8417,FUN_3,FUN_4
3038,21225,FUN_6,FUN_5
3056,8417,FUN_4,FUN_3
3061,22037,CUBE_L,FUN_1
3071,4459,CUBE_R,FUN_6
3079,14800,CUBE_R,RET
3080,19744,FUN_5,FUN_4
3101,20063,FUN_1,FUN_2
3111,461,FUN_2,FUN_3
3111,19860,FUN_1,FUN_2
3114,21662,FUN_3,FUN_2
3131,16356,FUN_6,FUN_5
3139,24051,FUN_2,FUN_1
3148,18268,RET,CUBE_L
3162,18149,FUN_3,FUN_2
3191,19649,CUBE_L,FUN_1
3192,7101,FUN_2,FUN_3
3195,17137,FUN_3,FUN_2
3207,16804,FUN_3,FUN_4
3212,13979,FUN_5,FUN_6
3213,16894,FUN_2,FUN_3
3229,1637,FUN_2,FUN_3
3243,2625,FUN_4,FUN_5
3252,1493,RET,CUBE_L
3252,7617,FUN_2,FUN_1
3266,29144,FUN_1,FUN_2
3284,26239,CUBE_R,FUN_6
3305,11563,FUN_3,FUN_2
3315,22077,RET,CUBE_R
3323,3480,FUN_1,FUN_2
3323,21225,FUN_5,FUN_6
3329,754,FUN_1,FUN_2
3329,11721,FUN_3,FUN_2
3330,17040,FUN_2,FUN_3
3341,14089,FUN_5,FUN_4
3342,8301,FUN_1,FUN_2
3342,22800,FUN_1,FUN_2
3351,26414,FUN_5,FUN_6
3355,21396,RET,CUBE_R
3376,9809,FUN_5,FUN_4
3385,21484,RET,CUBE_R
3386,21668,RET,CUBE_L
3388,14831,FUN_4,FUN_5
3397,1595,FUN_6,FUN_5
3405,6180,FUN_2,FUN_3
3409,6172,FUN_6,CUBE_R
3409,17915,CUBE_L,RET
3447,11063,CUBE_R,RET
3456,5186,FUN_2,FUN_3
3456,14506,FUN_1,FUN_2
3486,17167,FUN_2,FUN_1
3499,11767,FUN_5,FUN_4
3505,6043,FUN_5,FUN_4
3524,19245,FUN_3,FUN_2
3534,24909,FUN_3,FUN_2
3536,17220,FUN_4,FUN_5
3537,16721,FUN_4,FUN_5
3539,25250,FUN_1,FUN_2
3545,7007,CUBE_R,FUN_6
3548,29627,FUN_2,FUN_3
3550,18207,FUN_3,FUN_4
3552,24055,FUN_3,FUN_4
3558,15626,RET,CUBE_R
3565,8541,RET,CUBE_R
3566,14089,FUN_4,FUN_5
3579,9425,FUN_2,FUN_3
3579,23704,FUN_6,FUN_5
3579,26239,FUN_6,CUBE_R
3580,7059,FUN_2,FUN_3
3588,7664,FUN_6,CUBE_R
3595,15947,FUN_5,FUN_4
3622,11563,FUN_2,FUN_3
3634,7484,FUN_2,FUN_1
3635,1805,FUN_6,FUN_5
3644,23435,CUBE_R,RET
3648,13979,FUN_6,FUN_5
3658,1008,FUN_1,FUN_2
3658,21218,CUBE_L,RET
3661,11831,RET,CUBE_R
3678,10169,CUBE_L,RET
3680,6478,FUN_2,FUN_3
3681,28507,FUN_3,FUN_2
3705,26498,FUN_2,FUN_1
3707,21985,FUN_1,FUN_2
3719,905,FUN_2,FUN_1
3735,24564,FUN_6,FUN_5
3740,18223,CUBE_R,RET
3751,26110,FUN_2,FUN_3
3751,29251,FUN_2,FUN_3
3754,2133,FUN_5,FUN_4
3764,7547,CUBE_R,FUN_6
3775,2625,FUN_5,FUN_4
3776,7101,FUN_3,FUN_2
3781,26239,CUBE_R,FUN_6
3783,6164,FUN_2,FUN_1
3797,23587,FUN_2,FUN_3
3805,13979,FUN_5,FUN_6
3812,25509,CUBE_R,RET
3813,21874,RET,CUBE_R
3815,11832,CUBE_R,RET
3816,3629,FUN_2,FUN_3
3817,15947,FUN_4,FUN_5
3824,5044,RET,CUBE_L
3824,15662,FUN_3,FUN_4
3831,23435,RET,CUBE_R
3846,5675,FUN_1,FUN_2
3846,26128,CUBE_R,RET
3854,7622,CUBE_L,FUN_1
3878,5425,FUN_4,FUN_3
3892,11767,FUN_4,FUN_5
3892,11832,RET,CUBE_R
3902,23481,FUN_5,FUN_4
3917,21948,RET,CUBE_L
3918,12572,FUN_1,FUN_2
3923,1960,RET,CUBE_L
3923,10085,FUN_2,FUN_3
3925,24495,FUN_3,FUN_2
3938,467,FUN_4,FUN_5
3948,19469,FUN_5,FUN_6
3952,7942,CUBE_L,RET
3954,11832,CUBE_R,RET
3964,11184,FUN_5,FUN_6
3968,1202,FUN_1,FUN_2
3969,21527,FUN_6,CUBE_R
3977,23631,FUN_2,FUN_1
3993,25718,RET,CUBE_L
4008,2941,CUBE_L,RET
4012,10503,CUBE_L,FUN_1
4020,16589,FUN_4,FUN_3
4046,5722,FUN_2,FUN_1
4049,3629,FUN_3,FUN_2
4050,7617,FUN_1,FUN_2
4050,9869,FUN_2,FUN_3
4056,8793,FUN_2,FUN_3
4067,12134,FUN_2,FUN_1
4071,4776,FUN_3,FUN_4
4098,4910,RET,CUBE_R
4102,16579,FUN_2,FUN_1
4108,9923,FUN_4,FUN_5
4123,19671,FUN_2,FUN_3
4146,11095,FUN_3,FUN_2
4162,17137,FUN_2,FUN_3
4164,21109,FUN_1,CUBE_L
4173,29825,RET,CUBE_L
4191,1443,FUN_6,CUBE_R
4194,5898,FUN_6,CUBE_R
4203,21406,FUN_1,FUN_2
4207,13112,FUN_1,FUN_2
4226,18317,CUBE_L,RET
4270,18092,FUN_2,FUN_1
4280,22316,FUN_4,FUN_3
4282,8542,FUN_4,FUN_5
4288,29845,FUN_5,FUN_6
4297,24345,FUN_2,FUN_1
4298,21948,CUBE_L,RET
4309,11403,RET,CUBE_R
4315,24066,FUN_2,FUN_3
4318,22099,FUN_2,FUN_1
4324,26862,FUN_2,FUN_1
4331,5860,FUN_5,FUN_4
4342,5108,FUN_2,FUN_1
4343,23631,FUN_1,FUN_2
4351,20598,FUN_2,FUN_3
4353,4036,FUN_2,FUN_3
4361,12803,FUN_2,FUN_3
4364,14800,RET,CUBE_R
4366,2625,FUN_4,FUN_5
4367,23718,CUBE_L,FUN_1
4373,19475,CUBE_R,RET
4383,15431,FUN_1,FUN_2
4389,13979,FUN_6,FUN_5
4399,6557,FUN_4,FUN_5
4406,9923,FUN_5,FUN_4
4414,9001,CUBE_L,RET
4418,1852,FUN_6,CUBE_R
4429,22842,FUN_1,FUN_2
4431,11767,FUN_5,FUN_4
4438,9869,FUN_3,FUN_2
4449,10654,FUN_2,FUN_1
4461,2133,FUN_4,FUN_5
4478,21963,CUBE_R,RET
4492,26185,FUN_2,FUN_1
4493,16804,FUN_4,FUN_3
4501,11832,RET,CUBE_R
4514,22789,FUN_1,FUN_2
4518,843,RET,CUBE_R
4526,13542,RET,CUBE_L
4527,7499,FUN_1,FUN_2
4535,28676,CUBE_R,RET
4538,26981,FUN_2,FUN_1
4543,9294,CUBE_L,RET
4545,13909,FUN_2,FUN_3
4557,28024,FUN_6,CUBE_R
4565,10962,FUN_2,FUN_1
4571,24922,FUN_2,FUN_3
4581,4036,FUN_3,FUN_2
4599,2303,FUN_2,FUN_3
4603,13979,FUN_5,FUN_6
4605,21926,FUN_3,FUN_2
4609,9425,FUN_3,FUN_2
4609,16718,FUN_1,FUN_2
4617,22040,FUN_1,FUN_2
4635,5311,FUN_1,CUBE_L
4635,22508,FUN_1,FUN_2
4636,3480,FUN_2,FUN_1
4661,25809,FUN_4,FUN_3
4664,28372,RET,CUBE_L
4666,2211,FUN_1,FUN_2
4670,9869,FUN_2,FUN_3
4680,22462,FUN_2,FUN_3
4682,3144,FUN_2,FUN_3
4686,7349,FUN_4,FUN_3
4698,23435,CUBE_R,RET
4718,29893,FUN_3,FUN_2
4725,1248,RET,CUBE_R
4749,23094,FUN_3,FUN_2
4762,15411,RET,CUBE_R
4766,6180,FUN_3,FUN_2
4770,4279,FUN_3,FUN_2
4779,3983,FUN_3,FUN_2
4779,24055,FUN_4,FUN_3
4780,573,CUBE_L,RET
4790,28819,FUN_5,FUN_4
4805,4036,FUN_2,FUN_3
4826,29952,FUN_2,FUN_1
4841,13203,CUBE_L,RET
4844,4036,FUN_3,FUN_2
4850,16579,FUN_1,FUN_2
4854,10223,FUN_3,FUN_2
4879,9335,FUN_4,FUN_5
4899,26185,FUN_1,FUN_2
4902,9112,FUN_5,FUN_4
4913,21109,CUBE_L,FUN_1
4913,26348,FUN_3,FUN_4
4922,24044,FUN_1,FUN_2
4935,29443,FUN_2,FUN_1
4953,14287,FUN_3,FUN_4
4959,1960,CUBE_L,RET
4969,6163,FUN_3,FUN_4
4969,13822,FUN_2,FUN_1
4970,6180,FUN_2,FUN_3
4975,5898,CUBE_R,FUN_6
4977,21042,FUN_3,FUN_2
4982,18851,FUN_2,FUN_1
4987,9951,FUN_3,FUN_2
5003,9923,FUN_4,FUN_5
