step,particle_id,from,to
4422,20087,FUN_4,FUN_5
4442,17548,FUN_2,FUN_3
4449,27536,FUN_3,FUN_2
4505,22800,FUN_1,FUN_2
4506,12315,FUN_3,FUN_4
4509,10577,FUN_2,FUN_1
4514,23094,FUN_2,FUN_3
4523,17167,FUN_2,FUN_1
4523,27314,CUBE_L,FUN_1
4530,7982,FUN_3,FUN_2
4542,5592,RET,CUBE_R
4542,10146,FUN_6,FUN_5
4545,14946,CUBE_R,FUN_6
4549,2039,FUN_1,FUN_2
4560,4408,FUN_3,FUN_2
4561,22515,FUN_2,FUN_1
4567,12312,FUN_5,FUN_4
4571,3666,FUN_3,FUN_2
4581,26276,RET,CUBE_L
4657,23024,FUN_4,FUN_3
4661,8798,FUN_2,FUN_1
4715,25820,CUBE_L,RET
4726,13112,FUN_1,FUN_2
4736,23835,FUN_3,FUN_4
4768,18214,FUN_2,FUN_3
4781,18061,FUN_1,FUN_2
4796,7717,RET,CUBE_L
4802,7194,FUN_3,FUN_4
4812,18774,CUBE_R,RET
4813,2005,FUN_3,FUN_2
4814,24032,CUBE_L,RET
4825,18252,FUN_2,FUN_1
4855,4346,RET,CUBE_R
4863,2466,FUN_1,FUN_2
4864,2211,FUN_1,FUN_2
4872,22744,FUN_1,FUN_2
4877,27086,FUN_4,FUN_3
4888,16587,FUN_2,FUN_1
4888,23485,FUN_2,FUN_1
4896,13427,CUBE_R,FUN_6
4897,25754,FUN_3,FUN_2
4898,1701,FUN_1,FUN_2
4934,5675,FUN_1,FUN_2
4944,4036,FUN_2,FUN_3
4947,18290,FUN_3,FUN_2
4950,3951,FUN_5,FUN_6
4957,987,FUN_1,FUN_2
4979,2445,CUBE_L,RET
4985,29884,FUN_4,FUN_3
4988,24283,FUN_3,FUN_2
4990,17763,FUN_1,FUN_2
5048,12833,CUBE_L,FUN_1
5051,29867,FUN_4,FUN_3
5054,24734,FUN_6,FUN_5
5058,17530,FUN_3,FUN_2
5070,12572,FUN_1,FUN_2
5097,17334,CUBE_L,RET
5104,15054,FUN_4,FUN_3
5108,22280,FUN_1,CUBE_L
5114,23861,FUN_3,FUN_4
5125,14823,FUN_4,FUN_3
5140,28983,RET,CUBE_R
5155,2303,FUN_2,FUN_3
5162,22797,FUN_2,FUN_3
5169,9874,FUN_3,FUN_2
5195,26835,CUBE_R,FUN_6
5208,19515,FUN_3,FUN_4
5219,13536,FUN_3,FUN_2
5221,21126,RET,CUBE_R
5222,21958,CUBE_R,RET
5225,26090,FUN_2,FUN_1
5232,29858,FUN_3,FUN_4
5237,11447,CUBE_L,RET
5256,26964,FUN_6,FUN_5
5277,27407,RET,CUBE_L
5287,4922,RET,CUBE_R
5287,5690,FUN_2,FUN_3
5318,12474,FUN_4,FUN_5
5319,6447,FUN_3,FUN_2
5327,11902,FUN_5,FUN_6
5331,413,CUBE_R,FUN_6
5341,12087,FUN_2,FUN_3
5365,12711,CUBE_L,RET
5366,3053,FUN_4,FUN_3
5370,2283,FUN_2,FUN_3
5380,21459,FUN_2,FUN_1
5394,21440,FUN_4,FUN_3
5398,4713,FUN_4,FUN_3
5399,24851,FUN_3,FUN_2
5400,4796,FUN_2,FUN_3
5406,25981,FUN_1,FUN_2
5409,10082,FUN_2,FUN_1
5415,7565,FUN_3,FUN_2
5425,15717,CUBE_R,FUN_6
5428,17818,CUBE_L,FUN_1
5432,22873,FUN_4,FUN_5
5443,8022,FUN_2,FUN_1
5451,24436,FUN_5,FUN_6
5455,13946,FUN_1,FUN_2
5473,15580,FUN_4,FUN_5
5475,29940,FUN_1,FUN_2
5497,6431,CUBE_L,RET
5505,28024,CUBE_R,FUN_6
5534,3398,FUN_2,FUN_3
5538,752,FUN_4,FUN_3
5544,23694,FUN_2,FUN_1
5547,26258,FUN_3,FUN_4
