step,particle_id,from,to
1676,28832,FUN_3,FUN_2
1687,20991,FUN_4,FUN_3
1698,13797,FUN_3,FUN_2
1699,8839,FUN_3,FUN_2
1703,25701,FUN_3,FUN_2
1707,24495,FUN_3,FUN_2
1713,7390,FUN_1,FUN_2
1721,2039,FUN_2,FUN_1
1736,28564,FUN_2,FUN_1
1753,10557,FUN_2,FUN_3
1758,19469,FUN_5,FUN_6
1788,7381,FUN_5,FUN_4
1789,5169,CUBE_R,FUN_6
1803,8548,FUN_2,FUN_3
1809,9247,FUN_6,CUBE_R
1812,23596,FUN_3,FUN_2
1822,6810,FUN_2,FUN_3
1822,11768,FUN_3,FUN_2
1850,15480,FUN_5,FUN_4
1851,24945,FUN_2,FUN_1
1854,73,FUN_1,FUN_2
1870,19990,FUN_4,FUN_5
1882,14885,FUN_2,FUN_1
1889,824,FUN_4,FUN_5
1904,11289,CUBE_R,RET
1907,3088,FUN_5,FUN_6
1913,27919,FUN_2,FUN_3
1914,24457,RET,CUBE_L
1934,5448,FUN_2,FUN_3
1940,19929,CUBE_L,RET
1945,11747,RET,CUBE_L
1958,24636,FUN_1,CUBE_L
1964,27913,FUN_1,FUN_2
1968,23051,RET,CUBE_R
1972,15872,FUN_6,CUBE_R
1983,7371,FUN_1,FUN_2
1985,18627,CUBE_R,RET
1993,24949,FUN_2,FUN_1
2017,19739,RET,CUBE_L
2020,1238,CUBE_R,RET
2026,25126,FUN_2,FUN_3
2030,24418,FUN_2,FUN_1
2040,879,FUN_5,FUN_6
2052,4004,CUBE_L,RET
2065,8007,FUN_5,FUN_6
2066,21017,FUN_4,FUN_3
2070,17763,FUN_2,FUN_1
2087,754,FUN_1,FUN_2
2088,6901,FUN_1,FUN_2
2100,9676,FUN_4,FUN_5
2108,16161,FUN_5,FUN_6
2108,27536,FUN_3,FUN_2
2122,2275,FUN_3,FUN_2
2124,19600,FUN_6,FUN_5
2132,26176,CUBE_L,FUN_1
2133,22136,FUN_3,FUN_2
2137,21985,FUN_1,FUN_2
2139,8958,FUN_2,FUN_3
2146,21838,FUN_2,FUN_1
2152,14329,FUN_2,FUN_1
2154,23241,FUN_4,FUN_3
2160,19632,CUBE_L,RET
2161,13741,FUN_6,CUBE_R
2197,19196,CUBE_R,RET
2212,21817,FUN_1,FUN_2
2221,843,RET,CUBE_R
2224,27176,FUN_6,FUN_5
2228,7004,FUN_5,FUN_4
2233,10223,FUN_2,FUN_3
2237,24345,FUN_2,FUN_1
2241,6690,FUN_1,FUN_2
2241,14743,FUN_3,FUN_2
2251,29627,FUN_2,FUN_3
2272,23704,FUN_5,FUN_6
2275,28657,RET,CUBE_L
2280,8555,FUN_4,FUN_5
2281,8363,FUN_2,FUN_1
2290,19566,FUN_1,FUN_2
2314,8864,FUN_3,FUN_4
2332,10012,FUN_2,FUN_3
2334,11767,FUN_4,FUN_5
2342,9700,FUN_6,CUBE_R
2363,9809,FUN_5,FUN_4
2381,12661,FUN_2,FUN_1
