step,particle_id,from,to
1680,1129,RET,CUBE_R
1682,12803,FUN_2,FUN_3
1695,21838,FUN_2,FUN_1
1728,9247,FUN_6,CUBE_R
1730,5448,FUN_2,FUN_3
1740,19469,FUN_5,FUN_6
1755,10012,FUN_2,FUN_3
1763,5169,CUBE_R,FUN_6
1778,20415,FUN_2,FUN_3
1779,27919,FUN_2,FUN_3
1780,8864,FUN_3,FUN_4
1785,7381,FUN_5,FUN_4
1792,22061,FUN_1,FUN_2
1814,7522,RET,CUBE_R
1814,25126,FUN_2,FUN_3
1819,1238,CUBE_R,RET
1839,6810,FUN_2,FUN_3
1841,18627,CUBE_R,RET
1848,28564,FUN_2,FUN_1
1864,14552,FUN_2,FUN_3
1865,23897,CUBE_L,FUN_1
1865,24418,FUN_2,FUN_1
1867,11838,CUBE_R,RET
1874,3118,FUN_1,FUN_2
1884,17763,FUN_2,FUN_1
1887,27913,FUN_1,FUN_2
1888,28832,FUN_3,FUN_2
1892,13797,FUN_3,FUN_2
1903,843,RET,CUBE_R
1910,14743,FUN_3,FUN_2
1922,10557,FUN_2,FUN_3
1931,73,FUN_1,FUN_2
1940,21017,FUN_4,FUN_3
1947,3629,FUN_2,FUN_3
1950,23256,FUN_2,FUN_1
1954,28083,FUN_3,FUN_4
1955,6690,FUN_1,FUN_2
1960,8958,FUN_2,FUN_3
1978,2039,FUN_2,FUN_1
1984,4892,RET,CUBE_L
2007,20537,FUN_3,FUN_2
2013,11767,FUN_4,FUN_5
2031,11289,CUBE_R,RET
2032,10177,FUN_6,CUBE_R
2054,19632,CUBE_L,RET
2054,26176,CUBE_L,FUN_1
2055,28919,FUN_2,FUN_1
2063,7004,FUN_5,FUN_4
2080,19196,CUBE_R,RET
2082,8007,FUN_5,FUN_6
2100,15459,RET,CUBE_R
2114,5044,RET,CUBE_L
2114,27536,FUN_3,FUN_2
2119,23051,RET,CUBE_R
2125,19041,FUN_1,FUN_2
2131,7390,FUN_1,FUN_2
2135,21985,FUN_1,FUN_2
2139,2396,FUN_4,FUN_3
2154,11768,FUN_3,FUN_2
2169,20807,FUN_2,FUN_1
2176,4759,CUBE_L,RET
2189,6172,FUN_6,CUBE_R
2193,20991,FUN_4,FUN_3
2209,12071,FUN_3,FUN_2
2215,19739,RET,CUBE_L
2217,879,FUN_5,FUN_6
2217,14329,FUN_2,FUN_1
2225,29825,RET,CUBE_L
2229,16161,FUN_5,FUN_6
2234,8548,FUN_2,FUN_3
2235,28657,RET,CUBE_L
2250,5066,CUBE_R,FUN_6
2255,22136,FUN_3,FUN_2
2259,9809,FUN_5,FUN_4
2264,24945,FUN_2,FUN_1
2266,2275,FUN_3,FUN_2
2266,28247,FUN_3,FUN_2
2274,23241,FUN_4,FUN_3
2294,19929,CUBE_L,RET
2297,8555,FUN_4,FUN_5
2304,7371,FUN_1,FUN_2
2311,23704,FUN_5,FUN_6
2315,5665,RET,CUBE_R
2332,9676,FUN_4,FUN_5
2356,16417,CUBE_L,RET
2356,22377,FUN_2,FUN_3
2358,7084,FUN_3,FUN_2
2360,24032,CUBE_L,RET
2364,13513,FUN_1,FUN_2
2369,3102,CUBE_R,FUN_6
2371,10296,CUBE_R,RET
2404,28634,FUN_6,FUN_5
2416,20784,FUN_4,FUN_3
2419,21817,FUN_1,FUN_2
2449,5629,FUN_1,FUN_2
2455,1543,FUN_6,FUN_5
2466,21298,FUN_3,FUN_2
2477,4594,FUN_2,FUN_1
2481,3885,RET,CUBE_R
2482,25184,FUN_2,FUN_3
2486,11242,FUN_2,FUN_1
2500,5065,FUN_2,FUN_1
2507,21459,FUN_2,FUN_1
2513,27176,FUN_6,FUN_5
2520,9700,FUN_6,CUBE_R
2523,10150,FUN_6,CUBE_R
